ccode,year,Fd1y,Fd2y,Fd3y,Fd4y,Fd5y,Fd6y,R_B,R_N,L1R_B,L2R_B,L3R_B,L1R_N,L2R_N,L3R_N,D1y,L1D1y,L2D1y,L3D1y,D1d_y,L1D1d_y,L2D1d_y,L3D1d_y
32,1905,.011147751,-.0057653654,.049898244,.061317619,.09402895,.073943704,0,0,0,0,0,0,0,0,.0864105522632599,.0643922835588455,.0964137315750122,-.0582619644701481,.0260000005364418,.0329999998211861,.0130000002682209,-.0790000036358833
32,1906,-.016913116,.038750492,.050169867,.082881197,.062795952,.10410902,0,0,0,0,0,0,0,0,.0111477505415678,.0864105522632599,.0643922835588455,.0964137315750122,.003000000026077,.0260000005364418,.0329999998211861,.0130000002682209
32,1907,.055663608,.067082979,.099794313,.079709068,.12102214,.093231745,0,0,0,0,0,0,0,0,-.016913115978241,.0111477505415678,.0864105522632599,.0643922835588455,-.0040000001899898,.003000000026077,.0260000005364418,.0329999998211861
32,1908,.011419374,.044130709,.024045467,.065358534,.037568145,,0,0,0,0,0,0,0,0,.0556636080145836,-.016913115978241,.0111477505415678,.0864105522632599,.0070000002160668,-.0040000001899898,.003000000026077,.0260000005364418
32,1909,.032711335,.012626093,.053939156,.026148768,,,0,0,0,0,0,0,0,0,.0114193735644221,.0556636080145836,-.016913115978241,.0111477505415678,.0130000002682209,.0070000002160668,-.0040000001899898,.003000000026077
32,1910,-.020085242,.021227822,-.0065625664,,,,0,0,0,0,0,0,0,0,.0327113345265388,.0114193735644221,.0556636080145836,-.016913115978241,.0240000002086163,.0130000002682209,.0070000002160668,-.0040000001899898
32,1923,.039487086,.0053729191,.024329634,.06408947,.096056201,.11361267,0,0,0,0,0,0,0,0,.0695794224739075,.0464414395391941,-.000576036865823,.0489773415029049,-.0260000005364418,.0089999996125698,.0700000002980232,.0010000000474975
32,1924,-.034114167,-.015157452,.024602385,.056569114,.07412558,.0061462969,0,0,0,0,0,0,0,0,.0394870862364769,.0695794224739075,.0464414395391941,-.000576036865823,-.0320000015199184,-.0260000005364418,.0089999996125698,.0700000002980232
32,1925,.018956715,.05871655,.090683281,.10823975,.040260464,-.054265708,0,0,0,0,0,0,0,0,-.0341141670942307,.0394870862364769,.0695794224739075,.0464414395391941,.0049999998882413,-.0320000015199184,-.0260000005364418,.0089999996125698
32,1926,.039759837,.071726568,.089283034,.021303751,-.073222421,-.12576422,0,0,0,0,0,0,0,0,.0189567152410746,-.0341141670942307,.0394870862364769,.0695794224739075,.028999999165535,.0049999998882413,-.0320000015199184,-.0260000005364418
32,1927,.031966731,.049523197,-.018456087,-.11298226,-.16552407,-.13780284,0,0,0,0,0,0,0,0,.0397598370909691,.0189567152410746,-.0341141670942307,.0394870862364769,-.0219999998807907,.028999999165535,.0049999998882413,-.0320000015199184
32,1928,.017556468,-.050422817,-.14494899,-.1974908,-.16976957,-.1097462,0,0,0,0,0,0,0,0,.0319667309522629,.0397598370909691,.0189567152410746,-.0341141670942307,-.0179999992251396,-.0219999998807907,.028999999165535,.0049999998882413
32,1929,-.067979284,-.16250545,-.21504726,-.18732603,-.12730266,-.10036068,0,0,0,0,0,0,0,0,.0175564680248499,.0319667309522629,.0397598370909691,.0189567152410746,.0309999994933605,-.0179999992251396,-.0219999998807907,.028999999165535
32,1930,-.094526172,-.14706798,-.11934676,-.059323389,-.032381415,-.042048242,0,0,0,0,0,0,0,0,-.0679792836308479,.0175564680248499,.0319667309522629,.0397598370909691,.0529999993741512,.0309999994933605,-.0179999992251396,-.0219999998807907
32,1931,-.052541804,-.024820583,.035202786,.062144764,.052477937,.1054952,1,0,0,0,0,0,0,0,-.0945261716842651,-.0679792836308479,.0175564680248499,.0319667309522629,.0520000010728836,.0529999993741512,.0309999994933605,-.0179999992251396
32,1932,.027721221,.087744594,.11468657,.10501975,.15803701,.14510527,1,0,1,0,0,0,0,0,-.0525418035686016,-.0945261716842651,-.0679792836308479,.0175564680248499,-.0219999998807907,.0520000010728836,.0529999993741512,.0309999994933605
32,1933,.060023371,.086965345,.077298522,.13031578,.11738404,,1,0,1,1,0,0,0,0,.0277212206274271,-.0525418035686016,-.0945261716842651,-.0679792836308479,-.0179999992251396,-.0219999998807907,.0520000010728836,.0529999993741512
32,1934,.026941976,.017275149,.070292413,.057360671,,,0,0,1,1,1,0,0,0,.060023371130228,.0277212206274271,-.0525418035686016,-.0945261716842651,-.0799999982118607,-.0179999992251396,-.0219999998807907,.0520000010728836
32,1935,-.0096668266,.04335044,.030418698,,,,0,0,0,1,1,0,0,0,.0269419755786657,.060023371130228,.0277212206274271,-.0525418035686016,-.0649999976158142,-.0799999982118607,-.0179999992251396,-.0219999998807907
