CountryCode,year,F1y,F2y,F3y,F4y,F5y,F6y,F7y,F8y,F9y,F10y,L0HHD_L1GDP,L0NFD_L1GDP,L1HHD_L1GDP,L2HHD_L1GDP,L3HHD_L1GDP,L4HHD_L1GDP,L1NFD_L1GDP,L2NFD_L1GDP,L3NFD_L1GDP,L4NFD_L1GDP,L0y,L1y,L2y,L3y,L4y
251,2003,2815.57502746582,2817.33455657959,2819.633483886719,2821.880722045898,2821.880722045898,2818.490600585938,2820.200157165527,2822.43480682373,2822.43480682373,,39.25688171386719,105.9120101928711,37.64693450927734,36.98868179321289,36.94284820556641,36.11946868896484,107.909065246582,109.6520156860352,106.0002212524414,99.70909118652344,2813.179588317871,2811.960029602051,2811.344718933105,2809.475517272949,2805.628967285156
251,2004,2817.33455657959,2819.633483886719,2821.880722045898,2821.880722045898,2818.490600585938,2820.200157165527,2822.43480682373,2822.43480682373,,,41.73452758789063,107.5767288208008,39.25688171386719,37.64693450927734,36.98868179321289,36.94284820556641,105.9120101928711,107.909065246582,109.6520156860352,106.0002212524414,2815.57502746582,2813.179588317871,2811.960029602051,2811.344718933105,2809.475517272949
251,2005,2819.633483886719,2821.880722045898,2821.880722045898,2818.490600585938,2820.200157165527,2822.43480682373,2822.43480682373,,,,44.40945816040039,108.0162048339844,41.73452758789063,39.25688171386719,37.64693450927734,36.98868179321289,107.5767288208008,105.9120101928711,107.909065246582,109.6520156860352,2817.33455657959,2815.57502746582,2813.179588317871,2811.960029602051,2811.344718933105
251,2006,2821.880722045898,2821.880722045898,2818.490600585938,2820.200157165527,2822.43480682373,2822.43480682373,,,,,47.5602912902832,110.8053512573242,44.40945816040039,41.73452758789063,39.25688171386719,37.64693450927734,108.0162048339844,107.5767288208008,105.9120101928711,107.909065246582,2819.633483886719,2817.33455657959,2815.57502746582,2813.179588317871,2811.960029602051
251,2007,2821.880722045898,2818.490600585938,2820.200157165527,2822.43480682373,2822.43480682373,,,,,,50.29650115966797,112.3858337402344,47.5602912902832,44.40945816040039,41.73452758789063,39.25688171386719,110.8053512573242,108.0162048339844,107.5767288208008,105.9120101928711,2821.880722045898,2819.633483886719,2817.33455657959,2815.57502746582,2813.179588317871
251,2008,2818.490600585938,2820.200157165527,2822.43480682373,2822.43480682373,,,,,,,51.2371940612793,114.9274063110352,50.29650115966797,47.5602912902832,44.40945816040039,41.73452758789063,112.3858337402344,110.8053512573242,108.0162048339844,107.5767288208008,2821.880722045898,2821.880722045898,2819.633483886719,2817.33455657959,2815.57502746582
251,2009,2820.200157165527,2822.43480682373,2822.43480682373,,,,,,,,52.78994750976563,113.1613464355469,51.2371940612793,50.29650115966797,47.5602912902832,44.40945816040039,114.9274063110352,112.3858337402344,110.8053512573242,108.0162048339844,2818.490600585938,2821.880722045898,2821.880722045898,2819.633483886719,2817.33455657959
251,2010,2822.43480682373,2822.43480682373,,,,,,,,,56.78407287597656,118.1296844482422,52.78994750976563,51.2371940612793,50.29650115966797,47.5602912902832,113.1613464355469,114.9274063110352,112.3858337402344,110.8053512573242,2820.200157165527,2818.490600585938,2821.880722045898,2821.880722045898,2819.633483886719
251,2011,2822.43480682373,,,,,,,,,,58.15438079833984,123.9730911254883,56.78407287597656,52.78994750976563,51.2371940612793,50.29650115966797,118.1296844482422,113.1613464355469,114.9274063110352,112.3858337402344,2822.43480682373,2820.200157165527,2818.490600585938,2821.880722045898,2821.880722045898
251,2012,,,,,,,,,,,57.64395141601563,125.5446472167969,58.15438079833984,56.78407287597656,52.78994750976563,51.2371940612793,123.9730911254883,118.1296844482422,113.1613464355469,114.9274063110352,2822.43480682373,2822.43480682373,2820.200157165527,2818.490600585938,2821.880722045898
276,1970,2772.633171081543,2776.204872131348,2781.33430480957,2782.164192199707,2781.33430480957,2786.213302612305,2789.338493347168,2792.369079589844,2796.749305725098,2798.16780090332,,,,,,,,,,,2768.928909301758,,,,
276,1971,2776.204872131348,2781.33430480957,2782.164192199707,2781.33430480957,2786.213302612305,2789.338493347168,2792.369079589844,2796.749305725098,2798.16780090332,2798.16780090332,41.68798065185547,52.5319709777832,,,,,,,,,2772.633171081543,2768.928909301758,,,
276,1972,2781.33430480957,2782.164192199707,2781.33430480957,2786.213302612305,2789.338493347168,2792.369079589844,2796.749305725098,2798.16780090332,2798.16780090332,2798.16780090332,43.29492950439453,53.73271942138672,41.68798065185547,,,,52.5319709777832,,,,2776.204872131348,2772.633171081543,2768.928909301758,,
276,1973,2782.164192199707,2781.33430480957,2786.213302612305,2789.338493347168,2792.369079589844,2796.749305725098,2798.16780090332,2798.16780090332,2798.16780090332,2799.566459655762,45.45454406738281,55.05285263061523,43.29492950439453,41.68798065185547,,,53.73271942138672,52.5319709777832,,,2781.33430480957,2776.204872131348,2772.633171081543,2768.928909301758,
276,1974,2781.33430480957,2786.213302612305,2789.338493347168,2792.369079589844,2796.749305725098,2798.16780090332,2798.16780090332,2798.16780090332,2799.566459655762,2802.306365966797,43.33965682983398,54.40227890014648,45.45454406738281,43.29492950439453,41.68798065185547,,55.05285263061523,53.73271942138672,52.5319709777832,,2782.164192199707,2781.33430480957,2776.204872131348,2772.633171081543,2768.928909301758
